10 100.00 99.38
20 100.00 96.16
30 100.00 90.73
40 100.00 86.20
50 100.00 78.75
60 100.00 75.89
70 100.00 71.38
80 100.00 69.94
90 100.00 67.03
100 100.00 65.17
